snum,dnum,api00,api99,growth,meals,ell,yr_rnd,mobility,acs_k3,acs_46,not_hsg,hsg,some_col,col_grad,grad_sch,avg_ed,full,emer,enroll,mealcat,collcat
58,248,801,765,36,20,12,0,18,19,30,7,16,25,36,15,3.349999905,89,14,416,0,2
65,248,903,889,14,7,8,0,21,22,30,1,9,15,34,41,4.059999943,77,23,488,0,1
70,248,753,694,59,25,19,0,14,21,29,10,22,19,34,16,3.25,85,20,286,0,1
93,294,761,726,35,15,3,0,21,20,29,1,14,30,37,19,3.599999905,86,14,267,0,2
94,294,620,592,28,51,20,0,20,19,31,10,28,40,15,7,2.789999962,88,12,242,1,2
105,294,567,535,32,62,43,0,20,20,31,19,24,32,21,4,2.670000076,80,25,626,1,2
116,294,513,508,5,82,56,0,16,NA,31,25,36,26,10,4,2.309999943,46,42,558,2,2
165,507,449,434,15,71,21,0,19,20,31,30,55,9,6,0,1.919999957,45,31,367,1,0
167,507,774,757,17,69,51,0,7,19,26,19,30,24,20,8,2.670000076,95,0,255,1,1
181,507,724,714,10,15,3,0,18,21,29,2,15,32,34,18,3.50999999,93,7,196,0,2
182,507,411,413,-2,81,45,0,22,19,28,12,57,22,8,1,2.299999952,64,29,494,2,1
184,507,435,445,-10,87,70,1,4,19,30,51,24,17,5,3,1.850000024,69,15,643,2,1
187,507,498,480,18,77,30,0,19,20,30,31,32,31,5,1,2.130000114,78,11,322,1,2
194,507,514,527,-13,76,48,0,16,19,30,31,44,16,8,1,2.029999971,76,2,602,1,1
198,507,894,859,35,9,2,0,7,20,30,0,13,17,34,36,3.920000076,95,5,213,0,1
201,507,624,558,66,59,16,0,13,18,29,20,31,31,12,5,2.5,100,0,191,1,2
203,507,844,827,17,11,2,0,6,19,29,4,25,24,31,16,3.289999962,100,0,179,0,1
210,507,432,430,2,90,29,0,17,19,29,11,32,19,35,4,2.880000114,58,25,595,2,1
211,507,386,360,26,75,48,1,14,20,29,34,42,21,4,0,1.940000057,57,22,413,1,1
402,473,893,845,48,7,4,0,16,20,30,0,3,14,39,43,4.21999979,93,4,382,0,0
406,473,719,670,49,31,6,0,17,21,30,6,25,34,26,8,3.049999952,100,0,384,0,2
412,473,783,725,58,46,5,0,21,20,29,7,35,38,15,5,2.769999981,100,4,333,0,2
413,473,615,523,92,75,36,0,17,22,29,0,0,0,0,0,NA,91,15,419,1,0
416,473,866,836,30,1,1,0,11,22,33,0,2,18,51,30,4.070000172,100,3,517,0,1
419,473,850,808,42,12,5,0,13,21,33,5,7,27,40,22,3.680000067,100,3,422,0,2
425,473,657,593,64,45,11,0,16,21,31,10,24,40,19,7,2.900000095,100,3,510,0,2
430,473,745,663,82,17,3,0,17,20,33,4,26,42,23,5,3,89,11,240,0,2
468,796,783,758,25,31,6,0,15,19,27,7,38,22,23,10,2.890000105,96,8,317,0,1
469,796,543,527,16,82,25,0,23,20,27,27,46,16,9,1,2.119999886,80,6,400,2,1
479,796,512,447,65,98,34,0,31,19,32,31,48,11,9,1,2.00999999,83,6,269,2,0
482,796,745,736,9,27,12,0,11,18,28,5,29,23,37,7,3.119999886,95,5,266,0,1
488,796,539,424,115,98,12,0,18,20,24,10,75,13,1,0,2.059999943,93,7,301,2,0
489,796,720,678,42,34,8,0,20,19,24,8,34,26,26,6,2.880000114,85,7,461,0,2
504,796,802,787,15,26,10,0,21,19,33,3,27,21,37,12,3.289999962,91,5,360,0,1
592,140,804,873,-69,38,8,0,33,21,35,10,30,35,20,5,2.789999962,97,3,427,0,2
595,140,713,664,49,63,35,0,15,21,32,40,29,15,12,4,2.089999914,92,8,524,1,1
596,140,800,769,31,56,6,0,41,19,30,9,32,32,21,5,2.819999933,94,6,451,1,2
600,140,843,805,38,25,6,0,17,20,32,6,35,22,28,9,2.980000019,91,6,465,0,1
602,140,864,831,33,24,5,0,35,21,35,4,19,33,30,14,3.309999943,100,3,562,0,2
611,140,857,857,0,13,4,0,12,20,32,4,11,35,31,19,3.480000019,100,0,432,0,2
629,253,525,522,3,92,41,1,15,19,30,45,34,14,6,1,1.850000024,98,2,678,2,0
633,253,479,466,13,100,59,1,21,19,30,59,26,9,5,1,1.629999995,94,10,929,2,0
637,253,447,409,38,100,51,0,22,20,29,61,19,15,4,2,1.669999957,100,7,396,2,1
640,253,512,477,35,84,33,1,24,19,29,27,35,21,16,2,2.309999943,98,10,672,2,1
646,253,519,491,28,93,33,0,19,19,29,43,27,19,10,1,2.00999999,100,5,523,2,1
657,253,454,443,11,100,53,1,21,19,29,47,33,11,8,0,1.820000052,93,11,656,2,0
659,253,486,480,6,90,44,1,27,19,30,47,32,12,8,2,1.850000024,94,15,680,2,0
663,253,518,499,19,86,22,0,18,19,29,15,36,27,19,2,2.569999933,93,13,495,2,2
690,253,424,343,81,100,36,0,20,17,26,46,28,16,10,0,1.909999967,87,20,205,2,1
697,253,440,428,12,100,67,1,19,19,29,58,26,12,3,1,1.639999986,88,19,577,2,0
699,253,437,409,28,90,70,1,17,19,29,64,20,8,7,0,1.590000033,93,15,700,2,0
876,41,571,487,84,90,27,0,27,20,30,36,45,9,9,0,1.909999967,87,11,418,2,0
887,41,546,472,74,97,29,0,36,17,25,0,0,0,0,0,NA,68,29,395,2,0
888,41,478,425,53,89,30,0,44,18,31,50,50,0,0,0,1.5,87,13,520,2,0
